video_id,comments
qhsgzhCXDMg,[]
6-Z_ZMKi-zQ,[]
533NDY78_vU,[]
TWfdqioFsBQ,[]
mFdAf-Pzvrw,[]
-Nt52YopWdo,[]
WoHHFhP6e3g,[]
mSKTfoKEyMM,[]
wur24GTxDYE,[]
DeerNjm8kNY,[]
4m8pxKb_YxQ,[]
cqpgBvDxZy0,[]
TJkwp44je3c,[]
evs-_OvVkd0,[]
efZ9t_0a4Nk,[]
9ZbIkZmn4a0,[]
aJqm4U7slF4,[]
QI3uxCPw__M,[]
w0gRRBzNBYo,[]
YaG_cUMzYMU,[]
lqetrHvJaRY,[]
tbF1JEMSByI,[]
MZYP-PdeoD4,[]
SA0FxvLE17Q,[]
_aD1PW1teBk,[]
1LA4rSDmwhc,[]
61DOq6mVbCE,[]
ZU4BLC0C31Q,[]
00ApGEfQmyU,[]
jUivkJM0dF8,[]
W89KpE47FPs,[]
F5M3_lA95kQ,[]
xzPsvkH6k78,[]
U34YeDLADtg,[]
rfmsyVOyAMs,[]
bVu6F_Ss0c8,[]
j4VxmdhyRaQ,[]
b5579jYNRCE,[]
ctHgSympfOg,[]
mEYJ6i1i8cc,[]
8uG3QdNR0h0,[]
wCRj8CounX8,[]
numizOZb_X8,[]
XFjBt7auv54,[]
U2RIQteGWc4,[]
jbcZsziWD8U,[]
G3Dv57T2N7w,[]
pb5FsWw7jUw,[]
xUtQGqv7qfk,[]
MymHXD381I0,[]
rbw1gXanxgw,[]
qUcvcy6b_08,[]
4ZLQRFJQFUo,[]
_X8T8UovA_E,[]
35LSF1Wz1PU,[]
fpDIZ8JY8w0,[]
anjMD_K-wnQ,[]
vMrk2KuZl6s,[]
DngMsuQPFM8,[]
1UKIMusZ9bU,[]
itXYHQoBoek,[]
vmTI40FWIH0,[]
c0xky5fqo_g,[]
Qmfm53nAkJ4,[]
ESY9hK2bo4I,[]
_SXzIDjaNBQ,[]
yEElBNKnXrY,[]
l-9ejHYwXHw,[]
HJrYEni4e78,[]
wwTKrIKv2M0,[]
RvE38Nmz_gI,[]
f5gSLOTs2Hg,[]
qZlRRklWlIk,[]
NTYvMFokFAw,[]
AFBFgQjdRUY,[]
R-6ZA3BeQLI,[]
JnIZ1AMWhdE,[]
8QUXFRPtSAU,[]
0aw5myjMor8,[]
FbmNSXCHWYY,[]
Ngnm5Bjsxk8,[]
ExNVl0XZ75A,[]
BPwuDgyV4yM,[]
k38KpbjPuak,[]
gp5ObVXwA04,[]
oVSOTuz-Yrs,[]
7w92C1bBv84,[]
uDXgMyjAg5I,[]
iTVWtBG1d1U,[]
kf_3Riq22lU,[]
KtbjRZS0TxM,[]
0PgzlynW0NM,[]
u6wkXTRtS8g,[]
94xTXheJJg8,[]
AC2rfVVT6ZU,[]
YGoBmwjNAzM,[]
SAFOnEf9lUE,[]
Mp4w228piPM,[]
LJBkxkg9tUQ,[]
Q_hDanyMDSQ,[]
Sn0-5Fp4z94,[]
Xv2m-3sz4Nc,[]
pGF_ZMlFXVA,[]
TzHe3UlV-bg,[]
jhCmrfY5TdA,[]
YuE8vhF4gCM,[]
Iy97h7usFJc,[]
7iYDS6SgfHo,[]
YD_GBN3_QTo,[]
PPlUfw23T_k,[]
xJUid1RZ79A,[]
RPR8LsdfKbQ,[]
MurUgReyIs8,[]
e8Qs2Jn3S20,[]
